 ,PRESTADOR,PRODUCTO,DETALLES,DURACIÓN ,COSTO,VALOR PROMOCIONAL (Efectivo o transferencia),VALOR OFICIAL (hasta 3 cuotas sin interes),Flyer,OBSERVACIONES,PLANTILLA KOMMO
PANORÁMICOS / BODEGAS,MAYAS,Alta Montaña ,"Potrerillos, Uspallata, Centro de Ski Penitentes, Puente del Inca, Mirador del Aconcagua (no ingresan al parque) y Las Cuevas, último poblado antes del túnel internacional.
Incluye: Traslado grupal con guía.
No incluye: Comidas, paran en un restaurante tipo buffet para almorzar. 
•Salidas: todos los días desde el centro.
•Horario: 7 hs a 18:30 hs Aprox.",FULL DAY,"$57,000","$82,000","$95,000",si,"Valor Oficial (Hasta 3 cuotas sin interés 💳 ): $86.000 por persona

Valores Promo  👇🏼
*Condición: Sólo con transferencia o efectivo (Excepto seña para reservar) 

PROMO 1️⃣ LUNES, MIERCOLES, VIERNES Y DOMINGOS - Días ganga! 🎉 | 💰Valor: $72.000 p/p

PROMO 2️⃣ MARTES, JUEVES Y SABADOS 10% OFF  | 💰Valor: $77.400 p/p",
,,Cañón del Atuel ,"No incluye: Comidas ni actividades de aventura.
Opción de Actividades: Rafting - Puentes Tibetanos - Canopy - Catamarán.        •Días de salida: jueves y domingos 
•Horario: de 7:00 a 21 hs aprox.

",FULL DAY,"$65,400","$97,000","$109,000",,,
,,Villavicencio ,"Paraje cordillerano donde la belleza del lugar, las vertientes de agua natural, los famosos caracoles, la flora y fauna, dan lugar a espectaculares vistas desde los miradores. No Incluye entrada a la Reserva Natural, ésta se abona allí u online.
Incluye: Guia y traslado grupal.
Salidas: Miércoles y Sábados
Horario: De 8 a 13:30 hs aprox. 
",MEDIO DIA,"$33,000","$50,000","$55,000",,"No hay tiempo para actividades de aventura. Sólo Panorámico
Tickets de ingreso al Hotel NO INCLUIDO    https://www.entradaweb.com.ar/evento/3bb3af3d/step/1",
,,"Bodegas ""Caminos del Vino""","Visita y degustación en 2 o 3 bodegas boutique y una fábrica de aceites de oliva.
No incluye comidas.
Incluye: Guia y traslado grupal.
Salidas: Lunes a Sábado
Horario: De 14 a 20hs aprox.",MEDIO DIA,"$31,800","$48,000","$53,000",,Ofrecer como última opción o para armar combo de varios días de actividades ,
,ORO NEGRO,City Tour,"Área Fundacional, Ruinas de San Francisco, plazas históricas, Centro Cívico, Cerro de la Gloria, Parque San Martín y fábrica de chococlate con degu. Duración: 2:30h. Salidas: Lunes a Sabádos. Horarios: 10.30hs /15h. Punto de Encuento: Sarmiento y Chile, frente al Hyatt",MEDIO DIA,"$22,500","$34,000","$40,000",,"Seleccionar circuito 2
No drop on/drop off      //   VIGENTE HASTA 30/09",
,MARTUR,Villavicencio 4x4,"Traslado grupal con guía bilingüe.
30% desc. en actividades en el parque (tirolesas, juegos aéreos y zipline extreme)
Almuerzo: combo de montaña con bebida (hamburguesas o nuggets)
No incluye: Entrada a la Reserva Natural.
•Salidas: Miércoles, Viernes y Sábados
•Horario: 08:00 a 18:00hs. Aprox.",FULL DAY,"$76,000","$109,000","$126,000",si,"
Julio a Diciembre: $95.000
Comisión 20% - Ofrecer como primera opción  https://www.entradaweb.com.ar/evento/3bb3af3d/step/1",
TERMAS DE CACHEUTA,TERMAS,Full Day Spa con Traslado,"No incluye: bebidas y batas
Incluye: Traslado Grupal + Uso de Terma Spa de 10 a 18 hs + Almuerzo Buffet Criollo (sin bebidas) y Toalla.
",FULL DAY,"$136,850","$175,000","$200,000",si,Comisión 15% - Solicitar Rva por llada telefónica y reconfirmar el código dado por mail. COBRAR EL TOTAL AL MOMENTO DE TOMAR LA RESERVA,
,,Full Day Spa sin Traslado,"No incluye: bebidas y batas
Incluye: Uso de Terma Spa de 10 a 18 hs + Almuerzo Buffet Criollo (sin bebidas) y Toalla.",FULL DAY,"$117,000","$150,000","$174,000",si,Comisión 10% - Solicitar Rva por llada telefónica y reconfirmar el código dado por mail. COBRAR EL TOTAL AL MOMENTO DE TOMAR LA RESERVA ,
,,Tarde de Termas Spa + Picada,"No incluye: TRASLADOS, masajes, batas, aqua relax
Incluye: Uso de Terma Spa de 15 a 18 hs + Picada con cerveza artesanal y Toalla.",MEDIO DIA,"$81,000","$105,000","$121,400",,"Comisión 10% - Solicitar Rva por llada telefónica y reconfirmar el código dado por mail. COBRAR EL TOTAL AL MOMENTO DE TOMAR LA RESERVA. 
Cotizar TRASLADO PRIVADO",
,,Parque de Agua,Incluye: Traslado y acceso al parque ,FULL DAY,"$39,100","$63,000","$73,000",,"Comisión 15% con traslado - Solicitar Rva por llada telefónica y reconfirmar el código dado por mail. COBRAR EL TOTAL AL MOMENTO DE TOMAR LA RESERVA  //  TRASLADO al Parque de Agua.
PUNTO DE ENCUENTRO: Escudo en Plaza Independencia (calles Sarmiento y Chile).
HORARIOS: En época de frío (desde el 01/05 al 20/09) estar a las 9:15am para salir a las 9:30 am, regreso a las 5:30pm desde Cacheuta. En época cálidas (desde el 21/09 al 30/04) estar a las 8:45am para salir a las 9:00 am, regreso es a las 6:00 pm desde Cacheuta. Siempre salimos desde el Parque de Agua.
Traslado: sólo pueden subir niños mayores a 2 años.",
